Original_ID,B2,B3,B4,B8,B11,B12,NDVI,NDBI,MNDWI,Class,lon,lat,system:index,RF_Pred,prob_1,prob_2,prob_3,margin
10130,329.0,387.0,223.0,520.0,405.0,213.0,0.3997308313846588,-0.12432432174682617,-0.022727273404598236,3,118.68547590679802,29.41328735547868,10130,3,0.01,0.06333333333333334,0.9266666666666666,0.8633333333333333
10131,451.0,556.0,360.0,444.0,405.0,257.0,0.10447761416435242,-0.04593639448285103,0.1571279913187027,3,118.61450931353238,29.414005270748284,10131,3,0.013333333333333334,0.01,0.9766666666666667,0.9633333333333334
10132,347.0,456.0,227.0,72.0,72.0,53.0,-0.5183946490287781,0.0,0.7272727489471436,3,118.77360112091722,29.414005270748284,10132,3,0.0,0.0,1.0,1.0
10133,340.0,415.0,213.0,114.0,82.0,65.0,-0.302752286195755,-0.16326530277729034,0.6700201034545898,3,118.7800668174447,29.414005270748284,10133,3,0.0,0.0,1.0,1.0
10134,371.0,390.0,185.0,116.0,64.0,50.0,-0.22923588752746582,-0.2888889014720917,0.7180616855621338,3,118.68978785751666,29.41409445276936,10134,3,0.0,0.0,1.0,1.0
10135,290.0,410.0,313.0,323.0,738.0,497.0,0.015723271295428276,0.3911404311656952,-0.2857142984867096,3,118.65520306974614,29.414634003996817,10135,3,0.02666666666666667,0.0033333333333333335,0.97,0.9433333333333334
10136,373.0,419.0,193.0,139.0,67.0,57.0,-0.16265060007572174,-0.34951457381248474,0.7242798209190369,3,118.69445653631963,29.414634003996817,10136,3,0.0,0.0,1.0,1.0
10137,369.0,399.0,203.0,125.0,66.0,50.0,-0.23780487477779388,-0.30890053510665894,0.7161290049552917,3,118.68762965260677,29.4147231860179,10137,3,0.0,0.0,1.0,1.0
10138,380.0,396.0,191.0,121.0,69.0,59.0,-0.22435897588729858,-0.27368420362472534,0.7032257914543152,3,118.69319906982254,29.41481682714001,10138,3,0.0,0.0,1.0,1.0
10139,340.0,458.0,207.0,93.0,80.0,59.0,-0.3799999952316284,-0.07514450699090958,0.702602207660675,3,118.61001453967052,29.415262737245357,10139,3,0.0,0.0,1.0,1.0
10140,393.0,421.0,207.0,139.0,69.0,55.0,-0.19653178751468658,-0.3365384638309479,0.718367338180542,3,118.69257033657401,29.415351919266424,10140,3,0.0,0.0,1.0,1.0
10141,336.0,435.0,182.0,80.0,79.0,62.0,-0.3893129825592041,-0.006289307959377766,0.6926069855690002,3,118.61136564728973,29.41553474240962,10141,3,0.0,0.0,1.0,1.0
10142,379.0,421.0,211.0,152.0,69.0,55.0,-0.1625344306230545,-0.37556561827659607,0.718367338180542,3,118.69212442646867,29.41553474240962,10142,3,0.0,0.0,1.0,1.0
10143,402.0,461.0,213.0,161.0,105.0,77.0,-0.13903743028640747,-0.21052631735801697,0.6289752721786499,3,118.70398117616979,29.41562392443069,10143,3,0.0,0.0,1.0,1.0
10144,354.0,406.0,172.0,113.0,85.0,67.0,-0.20701754093170166,-0.14141413569450378,0.6537678241729736,3,118.71359053893994,29.41562392443069,10144,3,0.0,0.0,1.0,1.0
10145,332.0,406.0,191.0,91.0,78.0,67.0,-0.3546099364757538,-0.07692307978868484,0.6776859760284424,3,118.61576678002946,29.415802288472822,10145,3,0.0,0.0,1.0,1.0
10146,336.0,420.0,205.0,91.0,86.0,71.0,-0.38513514399528503,-0.028248587623238564,0.6600790619850159,3,118.6168458824844,29.41598065251496,10146,3,0.0,0.0,1.0,1.0
10147,350.0,441.0,203.0,75.0,65.0,56.0,-0.46043166518211365,-0.0714285746216774,0.7430830001831055,3,118.62052909995454,29.41598065251496,10147,3,0.0,0.0,1.0,1.0
10148,513.5,725.0,508.5,602.0,945.0,600.0,0.0841963067650795,0.22171945869922638,-0.13173653185367584,3,119.53312426245172,29.41598065251496,10148,3,0.04666666666666667,0.01,0.9433333333333334,0.8966666666666667
10149,316.0,374.0,174.0,140.0,88.0,81.0,-0.1082802563905716,-0.22807016968727112,0.6190476417541504,3,118.79156683906157,29.416074293637084,10149,3,0.0,0.0,1.0,1.0
