Original_ID,system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,lat,lon,.geo,prob_1,prob_2,margin
24,24,1552.6666666666667,1247.0,562.6666666666666,624.8333333333334,820.0,1160.875,1,-0.42610025,0.14438388,0.17208305,30.757102602618858,114.0685688509031,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.0685688509031,30.757102602618854]}",0.95,0.04666666666666667,0.9033333333333333
25,25,2298.0,1826.75,916.6666666666666,1122.6666666666667,1333.3333333333333,2191.5,1,-0.34359774,0.023722017,0.24346305,30.695029016486195,114.32917011482618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.32917011482618,30.695029016486195]}",0.92,0.06666666666666667,0.8533333333333334
26,26,2329.0,2231.5,1146.4,1165.0,1256.0,1682.3333333333333,1,-0.33314252,0.16120991,0.14509359,30.593249894795452,114.01862252110604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.01862252110605,30.593249894795452]}",0.99,0.01,0.98
27,27,1195.0,972.0,748.5,825.0,877.0,1540.0,1,-0.18316832,-0.12614259,0.27430698,30.67014568311609,114.56803214887356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.56803214887356,30.670145683116086]}",0.9633333333333334,0.03,0.9333333333333333
28,28,2592.0,1635.0,3112.0,3488.0,3696.0,3870.0,1,0.14736842,-0.1977716,0.022997621,30.766804407687346,114.35926367684418,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.35926367684418,30.766804407687346]}",0.9533333333333334,0.043333333333333335,0.91
29,29,1592.5,1359.0,1052.0,1199.0,1286.0,1548.0,1,-0.14096364,0.014169718,0.09244884,30.689549293253062,114.46230043993268,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.46230043993269,30.689549293253066]}",0.98,0.013333333333333334,0.9666666666666667
30,30,4867.333333333334,5331.0,2415.0,2869.5,3085.6,3046.0,1,-0.25822365,0.23016007,-0.0064583467,30.41825807744897,114.07297059579528,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.07297059579528,30.41825807744897]}",1.0,0.0,1.0
31,31,2282.0,2014.0,903.0,1088.0,1150.0,2208.0,1,-0.35430267,0.01648107,0.31506848,30.510874383241692,114.38019442296417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.38019442296417,30.510874383241692]}",0.96,0.03,0.9299999999999999
32,32,2061.0,1832.0,673.5,872.0,1165.0,1953.5,1,-0.40538698,0.02677793,0.2528459,30.223952481493917,114.35432294278152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.35432294278152,30.223952481493917]}",0.9,0.1,0.8
33,33,2450.5,2075.5,1052.0,1344.0,1524.0,2178.5,1,-0.29160628,0.05875999,0.17677245,30.453921194228517,114.42753563843726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.42753563843726,30.453921194228517]}",0.9133333333333333,0.08666666666666667,0.8266666666666667
34,34,2712.0,2401.0,787.0,1029.0,1387.0,2204.5,1,-0.4498797,0.10322384,0.22762077,30.832740749541717,114.55428792502651,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.55428792502653,30.832740749541717]}",0.9566666666666667,0.043333333333333335,0.9133333333333333
35,35,2606.0,2418.0,770.0,998.0,1314.0,1927.0,1,-0.44617093,0.14979042,0.18913916,30.88268707933876,114.84516241402444,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.84516241402443,30.882687079338762]}",0.9833333333333333,0.016666666666666666,0.9666666666666666
36,36,2790.5,2361.5,942.5,1300.0,1554.0,2732.0,1,-0.3643809,0.010593029,0.27484834,30.708773240333223,114.60531223316453,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.60531223316451,30.708773240333223]}",0.8466666666666667,0.15333333333333332,0.6933333333333334
37,37,2005.0,1770.3333333333333,777.6666666666666,934.0,1237.0,1946.0,1,-0.36440966,0.014932929,0.22274584,30.627835033234057,114.2474234239713,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.2474234239713,30.627835033234057]}",0.9366666666666666,0.06333333333333334,0.8733333333333333
38,38,1657.5,1329.5,722.0,880.5,880.5,2158.0,1,-0.30614656,-0.13117547,0.42043772,30.6988019406795,114.5398250489522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.53982504895221,30.6988019406795]}",0.9666666666666667,0.03333333333333333,0.9333333333333333
39,39,1965.0,1694.0,963.0,892.0,926.0,1546.0,1,-0.37556878,0.11933922,0.25080907,30.881519269469408,115.01988473678568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.01988473678567,30.881519269469408]}",0.9733333333333334,0.02666666666666667,0.9466666666666668
40,40,1979.0,1446.3333333333333,760.0,990.7,1064.6666666666667,2385.0,1,-0.33279455,-0.09303392,0.3827423,30.38142715080007,114.13971542140536,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.13971542140537,30.38142715080007]}",0.7766666666666666,0.21666666666666667,0.5599999999999999
41,41,2601.5,2354.5,701.0,817.0,1027.5,1829.0,1,-0.5220126,0.17435956,0.28058812,30.921853625726374,115.00110994734756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.00110994734757,30.921853625726374]}",0.93,0.07,0.8600000000000001
42,42,2536.0,2500.0,1206.0,1296.0,1348.0,1963.0,1,-0.32359082,0.12736164,0.1857445,30.542315418185876,114.45286812944944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.45286812944944,30.542315418185876]}",1.0,0.0,1.0
