City,Seed,Model,OA,BE,Rec_C1,Rec_C2,Rec_C3,Prec_C1,Prec_C2,Prec_C3,n_err,err_C12_share,err_water_share,mean_margin_all,mean_margin_err,mean_margin_ok,low_margin_frac,low_margin_among_err,ndvi_c12_err,ndvi_c1_true,ndvi_c2_true,ndbi_c1_true,ndbi_c2_true
Nanchang,4,MLP,0.9286666666666666,159,0.9693333333333334,0.8413333333333334,0.9753333333333334,0.9231746031746032,0.943904263275991,0.9212846347607053,321,0.4953271028037383,0.5046728971962616,0.8993781208992004,0.6077000498771667,0.9217826724052429,0.018222222222222223,0.13707165109034267,0.3089547194402516,0.23486099950426667,0.4439083657888,0.02895958376710867,-0.08178806294822667
Hefei,0,RF,0.9322222222222222,243,0.944,0.8686666666666667,0.984,0.89281210592686,0.9307142857142857,0.9749009247027741,305,0.7967213114754098,0.20327868852459016,0.815034074074074,0.38911475409836066,0.8460007945967422,0.03755555555555556,0.26229508196721313,0.3096447931440329,0.24051294368206666,0.4179869452080667,-0.005315046050772666,-0.057874542698166664
Hefei,1,RF,0.9331111111111111,240,0.942,0.874,0.9833333333333333,0.8965736040609137,0.9278131634819533,0.9761747187293184,301,0.7973421926910299,0.2026578073089701,0.8144962962962964,0.39244739756367664,0.8447503373819163,0.037333333333333336,0.26245847176079734,0.30674463009999997,0.24051294368206666,0.4179869452080667,-0.005315046050772666,-0.057874542698166664
Hefei,2,RF,0.9328888888888889,236,0.9446666666666667,0.872,0.982,0.8951358180669615,0.9309608540925267,0.9742063492063492,302,0.7814569536423841,0.2185430463576159,0.8147785185185185,0.3883222958057395,0.8454573606479275,0.03977777777777778,0.2980132450331126,0.3072677210338983,0.24051294368206666,0.4179869452080667,-0.005315046050772666,-0.057874542698166664
Hefei,3,RF,0.932,240,0.942,0.8733333333333333,0.9806666666666667,0.896005072923272,0.9257950530035336,0.9754641909814323,306,0.7843137254901961,0.21568627450980393,0.8149111111111111,0.3831263616557734,0.8464147194404705,0.03933333333333333,0.28431372549019607,0.3094800358916666,0.24051294368206666,0.4179869452080667,-0.005315046050772666,-0.057874542698166664
Hefei,4,RF,0.9322222222222222,239,0.944,0.8726666666666667,0.98,0.8956356736242884,0.9263977353149327,0.9760956175298805,305,0.7836065573770492,0.21639344262295082,0.8145414814814814,0.3868524590163935,0.845636869288836,0.03755555555555556,0.2754098360655738,0.30696688591631804,0.24051294368206666,0.4179869452080667,-0.005315046050772666,-0.057874542698166664
Hefei,0,MLP,0.9417777777777778,199,0.928,0.916,0.9813333333333333,0.9354838709677419,0.9129568106312292,0.9767750497677505,262,0.7595419847328244,0.24045801526717558,0.9196226000785828,0.5994676351547241,0.9394151568412781,0.012,0.12595419847328243,0.30792202141206026,0.24051294368206666,0.4179869452080667,-0.005315046050772666,-0.057874542698166664
Hefei,1,MLP,0.9417777777777778,193,0.9373333333333334,0.912,0.976,0.9305095962938451,0.9168900804289544,0.9779559118236473,262,0.7366412213740458,0.2633587786259542,0.9163749814033508,0.5775526165962219,0.937321662902832,0.014888888888888889,0.11450381679389313,0.3032046161606218,0.24051294368206666,0.4179869452080667,-0.005315046050772666,-0.057874542698166664
Hefei,2,MLP,0.9435555555555556,192,0.9386666666666666,0.9113333333333333,0.9806666666666667,0.9312169312169312,0.9211590296495957,0.9780585106382979,254,0.7559055118110236,0.2440944881889764,0.9189839363098145,0.5951695442199707,0.9383549094200134,0.014666666666666666,0.11811023622047244,0.30451622758333335,0.24051294368206666,0.4179869452080667,-0.005315046050772666,-0.057874542698166664
Hefei,3,MLP,0.9442222222222222,190,0.9473333333333334,0.9033333333333333,0.982,0.9233268356075374,0.9319119669876204,0.9774386197743862,251,0.7569721115537849,0.24302788844621515,0.9244205951690674,0.6131306290626526,0.9428093433380127,0.01577777777777778,0.11553784860557768,0.2991855384315789,0.24051294368206666,0.4179869452080667,-0.005315046050772666,-0.057874542698166664
Hefei,4,MLP,0.944,189,0.962,0.8886666666666667,0.9813333333333333,0.9127134724857685,0.9440509915014165,0.9767750497677505,252,0.75,0.25,0.9225918054580688,0.5938562154769897,0.9420930743217468,0.014222222222222223,0.1388888888888889,0.3085485198571428,0.24051294368206666,0.4179869452080667,-0.005315046050772666,-0.057874542698166664
Nanjing,0,RF,0.9055555555555556,298,0.9266666666666666,0.8173333333333334,0.9726666666666667,0.8703819661865999,0.9027982326951399,0.944336569579288,425,0.7011764705882353,0.2988235294117647,0.7820985185185185,0.45695686274509806,0.8160089979550103,0.044222222222222225,0.17411764705882352,0.3242650863825503,0.24940728788826663,0.45601784592104,-0.02003320625547333,-0.10943319947821666
Nanjing,1,RF,0.9022222222222223,308,0.924,0.812,0.9706666666666667,0.86625,0.8982300884955752,0.9430051813471503,440,0.7,0.3,0.7809244444444444,0.44277272727272726,0.8175714285714286,0.04622222222222222,0.19545454545454546,0.32688040227922077,0.24940728788826663,0.45601784592104,-0.02003320625547333,-0.10943319947821666
Nanjing,2,RF,0.9042222222222223,299,0.9253333333333333,0.8166666666666667,0.9706666666666667,0.8702194357366771,0.9000734753857458,0.9430051813471503,431,0.6937354988399071,0.3062645011600928,0.782588888888889,0.45527455529775723,0.8172589497829116,0.044222222222222225,0.17633410672853828,0.32415894268227424,0.24940728788826663,0.45601784592104,-0.02003320625547333,-0.10943319947821666
Nanjing,3,RF,0.9033333333333333,304,0.9273333333333333,0.812,0.9706666666666667,0.8666666666666667,0.900887573964497,0.9436163318211277,435,0.6988505747126437,0.30114942528735633,0.781788888888889,0.449455938697318,0.8173521935219352,0.04644444444444444,0.1839080459770115,0.3253058822763158,0.24940728788826663,0.45601784592104,-0.02003320625547333,-0.10943319947821666
Nanjing,4,RF,0.9004444444444445,312,0.922,0.8086666666666666,0.9706666666666667,0.8649155722326454,0.8965262379896526,0.9405684754521964,448,0.6964285714285714,0.30357142857142855,0.7821185185185185,0.4383184523809524,0.8201299769661072,0.04622222222222222,0.21651785714285715,0.3245228139166667,0.24940728788826663,0.45601784592104,-0.02003320625547333,-0.10943319947821666
Nanjing,0,MLP,0.9093333333333333,280,0.914,0.852,0.962,0.8960784313725491,0.8777472527472527,0.9531043593130779,408,0.6862745098039216,0.3137254901960784,0.8724018931388855,0.547899603843689,0.904757022857666,0.024888888888888887,0.12990196078431374,0.3378750333678571,0.24940728788826663,0.45601784592104,-0.02003320625547333,-0.10943319947821666
Nanjing,1,MLP,0.9091111111111111,284,0.936,0.824,0.9673333333333334,0.8785982478097623,0.8989090909090909,0.9502292075965947,409,0.6943765281173594,0.3056234718826406,0.8771816492080688,0.5650373101234436,0.9083884954452515,0.02311111111111111,0.11491442542787286,0.33242993282746475,0.24940728788826663,0.45601784592104,-0.02003320625547333,-0.10943319947821666
Nanjing,2,MLP,0.9104444444444444,282,0.9553333333333334,0.8086666666666666,0.9673333333333334,0.8658610271903323,0.9175491679273827,0.9527248850952068,403,0.6997518610421837,0.3002481389578164,0.8873195052146912,0.5871952176094055,0.9168412089347839,0.022222222222222223,0.12406947890818859,0.33495810298936163,0.24940728788826663,0.45601784592104,-0.02003320625547333,-0.10943319947821666
Nanjing,3,MLP,0.9106666666666666,278,0.9486666666666667,0.81,0.9733333333333334,0.8724708767627223,0.9169811320754717,0.9455958549222798,402,0.6915422885572139,0.30845771144278605,0.8831596970558167,0.5691244602203369,0.9139655232429504,0.022,0.11442786069651742,0.33600257885971224,0.24940728788826663,0.45601784592104,-0.02003320625547333,-0.10943319947821666
Nanjing,4,MLP,0.9077777777777778,291,0.9113333333333333,0.84,0.972,0.8911342894393742,0.8835904628330996,0.9467532467532468,415,0.7012048192771084,0.2987951807228916,0.8728734850883484,0.5493693351745605,0.9057386517524719,0.024444444444444446,0.13975903614457832,0.33355932578350517,0.24940728788826663,0.45601784592104,-0.02003320625547333,-0.10943319947821666
