held_out,seed,method,n_train,n_corrected,WC_OA,WC_Kappa,WC_BE,Human_OA,Human_BE
Hefei,4,B3_loco_ungated,10383,279,0.92455786881576,0.8831656814308841,287,0.44666666666666666,72
Hefei,4,B4_random_flip,10383,151,0.9400044772778151,0.9061833127269145,219,0.42,76
Nanchang,0,B0_baseline,10329,0,0.9017916390179164,0.8523192726011053,204,0.29333333333333333,81
Nanchang,0,B1_local_oracle,10329,43,0.9044459190444591,0.8561764947593619,198,0.31333333333333335,77
Nanchang,0,B2_loco_gated,10329,93,0.9024552090245521,0.8531037469002759,208,0.2866666666666667,81
Nanchang,0,B3_loco_ungated,10329,214,0.896040698960407,0.8430968854413874,233,0.32666666666666666,76
Nanchang,0,B4_random_flip,10329,93,0.902676399026764,0.853657546122106,200,0.26666666666666666,85
Nanchang,1,B0_baseline,9813,0,0.9009330950962875,0.8504268654561666,206,0.3,80
Nanchang,1,B1_local_oracle,9813,41,0.9029184038117928,0.8533115848027726,199,0.32,77
Nanchang,1,B2_loco_gated,9813,92,0.9021242803255907,0.8520009314156153,198,0.31333333333333335,78
Nanchang,1,B3_loco_ungated,9813,206,0.8995433789954338,0.8478332772919799,212,0.36,71
Nanchang,1,B4_random_flip,9813,92,0.901131625967838,0.8506332805775676,202,0.28,82
Nanchang,2,B0_baseline,10072,0,0.885935537881959,0.8284863344838229,181,0.2733333333333333,84
Nanchang,2,B1_local_oracle,10072,42,0.8850983675177899,0.8271490541084621,183,0.32666666666666666,75
Nanchang,2,B2_loco_gated,10072,97,0.8817496860611135,0.8220306791507639,199,0.3,80
Nanchang,2,B3_loco_ungated,10072,203,0.8752616157388029,0.8120975209859521,228,0.32,75
Nanchang,2,B4_random_flip,10072,97,0.8840519045625785,0.8256789254810749,179,0.2733333333333333,83
Nanchang,3,B0_baseline,10296,0,0.9110671936758893,0.8658660290811601,210,0.28,83
Nanchang,3,B1_local_oracle,10296,36,0.9112867808519982,0.866240444777552,204,0.32,77
Nanchang,3,B2_loco_gated,10296,85,0.9071146245059288,0.8599782357874974,222,0.32,77
Nanchang,3,B3_loco_ungated,10296,175,0.9009661835748792,0.8507835943861582,246,0.3333333333333333,75
Nanchang,3,B4_random_flip,10296,85,0.9115063680281071,0.8665362132282491,204,0.2866666666666667,81
Nanchang,4,B0_baseline,10321,0,0.9183042614263635,0.8773323779919325,240,0.25333333333333335,87
Nanchang,4,B1_local_oracle,10321,39,0.9183042614263635,0.877329019538428,244,0.3,79
Nanchang,4,B2_loco_gated,10321,77,0.9160962684919408,0.8740194899319977,246,0.2866666666666667,82
Nanchang,4,B3_loco_ungated,10321,202,0.9101346875689997,0.8650454724927275,278,0.32,77
Nanchang,4,B4_random_flip,10321,77,0.9158754691984986,0.8736806666191809,251,0.28,83
Nanjing,0,B0_baseline,10175,0,0.9099465240641711,0.8607659554359092,336,0.4666666666666667,65
Nanjing,0,B1_local_oracle,10175,127,0.9022459893048128,0.8488760462087497,375,0.5933333333333334,47
Nanjing,0,B2_loco_gated,10175,59,0.9058823529411765,0.8544793306530271,352,0.5066666666666667,60
Nanjing,0,B3_loco_ungated,10175,103,0.9050267379679144,0.8531986110977522,356,0.54,57
Nanjing,0,B4_random_flip,10175,59,0.9095187165775401,0.8601040755925057,337,0.4666666666666667,66
Nanjing,1,B0_baseline,9725,0,0.9198048780487805,0.8794920826205314,311,0.4666666666666667,65
Nanjing,1,B1_local_oracle,9725,120,0.9139512195121952,0.8704752219049359,340,0.58,49
Nanjing,1,B2_loco_gated,9725,59,0.9180487804878049,0.8767691992728781,319,0.49333333333333335,61
Nanjing,1,B3_loco_ungated,9725,104,0.9159024390243903,0.8734926793418636,330,0.5133333333333333,59
Nanjing,1,B4_random_flip,9725,59,0.9176585365853659,0.876254335604078,319,0.46,66
Nanjing,2,B0_baseline,10174,0,0.9230111206159111,0.8845334688728884,274,0.49333333333333335,60
Nanjing,2,B1_local_oracle,10174,126,0.9200171086398631,0.8799727196999964,288,0.6,46
Nanjing,2,B2_loco_gated,10174,61,0.9240804106073567,0.8861125086128453,271,0.5333333333333333,55
Nanjing,2,B3_loco_ungated,10174,108,0.9210863986313088,0.8815972151694433,280,0.5466666666666666,55
Nanjing,2,B4_random_flip,10174,61,0.9215141146278871,0.8822920649213628,278,0.48,63
Nanjing,3,B0_baseline,9666,0,0.9106867283950617,0.865359547078822,351,0.47333333333333333,63
Nanjing,3,B1_local_oracle,9666,107,0.9072145061728395,0.8602869774280485,366,0.56,50
