held_out,seed,tau,q,n_corrected,Human_OA,Human_BE,WC_OA,WC_BE
Wuhan,2,0.9,0.1,29,0.4533333333333333,64,0.9165408669398318,277
Wuhan,3,0.9,0.1,32,0.4533333333333333,64,0.9192409532215358,257
Wuhan,4,0.9,0.1,31,0.47333333333333333,63,0.9155689915784928,261
Wuhan,0,0.9,0.2,49,0.4533333333333333,64,0.9120564249504077,271
Wuhan,1,0.9,0.2,55,0.43333333333333335,68,0.9229299363057325,230
Wuhan,2,0.9,0.2,48,0.4533333333333333,64,0.9161095535906836,279
Wuhan,3,0.9,0.2,51,0.44666666666666666,65,0.9194616063548102,258
Wuhan,4,0.9,0.2,47,0.46,64,0.9131936946663788,273
Hefei,0,0.7,0.05,195,0.43333333333333335,75,0.9270024406478811,261
Hefei,1,0.7,0.05,174,0.44666666666666666,71,0.9311427375470909,275
Hefei,2,0.7,0.05,165,0.4,79,0.9318940137389597,272
Hefei,3,0.7,0.05,162,0.46,70,0.9240144734336317,337
Hefei,4,0.7,0.05,188,0.4266666666666667,74,0.9335124244459369,249
Hefei,0,0.7,0.1,350,0.4666666666666667,70,0.921677390725538,280
Hefei,1,0.7,0.1,325,0.47333333333333333,68,0.9252825449979071,300
Hefei,2,0.7,0.1,327,0.4533333333333333,70,0.9295387634936212,274
Hefei,3,0.7,0.1,296,0.48,67,0.9143020377071034,387
Hefei,4,0.7,0.1,344,0.4666666666666667,68,0.9274680993955675,273
Hefei,0,0.7,0.2,586,0.5266666666666666,61,0.8992678056356779,379
Hefei,1,0.7,0.2,599,0.5466666666666666,58,0.9077019673503558,380
Hefei,2,0.7,0.2,605,0.5133333333333333,62,0.9159960745829244,339
Hefei,3,0.7,0.2,531,0.5333333333333333,60,0.8960198057512855,480
Hefei,4,0.7,0.2,594,0.54,58,0.9026192075218268,381
Hefei,0,0.8,0.05,128,0.44666666666666666,73,0.9298868426891502,248
Hefei,1,0.8,0.05,116,0.43333333333333335,74,0.93197990791126,275
Hefei,2,0.8,0.05,116,0.4266666666666667,75,0.9313052011776252,275
Hefei,3,0.8,0.05,105,0.44,71,0.9268710721767283,319
Hefei,4,0.8,0.05,126,0.43333333333333335,75,0.9346317438997089,246
Hefei,0,0.8,0.1,237,0.46,71,0.9232305302862215,275
Hefei,1,0.8,0.1,217,0.44666666666666666,71,0.9284219338635412,289
