system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,lat,lon,.geo,Margin,Original_ID
6957,1695.5,1442.0,1185.0,1286.0,1375.0,1576.5,2,-0.13734697,0.036369193,0.06827037,31.955814517747942,117.4386884708059,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.4386884708059,31.955814517747942]}",0.29,6957
7952,1956.5,1633.0,1047.0,1252.0,1374.0,1953.5,2,-0.219573,0.0007672634,0.17415477,32.18048317030624,117.23225561851524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.23225561851524,32.18048317030624]}",0.29,7952
5570,1720.5,1409.0,754.0,802.5,814.5,949.0,2,-0.36385256,0.28900543,0.076268785,31.80247209874874,117.11367800101144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.11367800101145,31.80247209874874]}",0.29000000000000004,5570
2715,2134.5,1519.5,560.5,743.5,679.0,2506.5,1,-0.48332176,-0.08015514,0.5736933,32.100712773076424,117.41066103394137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.41066103394137,32.100712773076424]}",0.2933333333333333,2715
4779,2348.0,1665.0,711.0,974.0,1024.0,2742.0,1,-0.41360626,-0.07740668,0.45618695,31.758005492184825,117.16856506487116,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.16856506487116,31.758005492184825]}",0.2933333333333333,4779
5220,2750.0,2315.5,1535.0,1840.0,1977.0,3017.5,2,-0.19825707,-0.04638058,0.20832916,31.80148395193621,117.14368173150103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.14368173150105,31.80148395193621]}",0.2933333333333333,5220
6469,2974.0,2827.0,2382.0,2626.0,2868.0,3176.0,2,-0.062142856,-0.032845527,0.050959628,31.6210124113566,117.20880958959972,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20880958959971,31.6210124113566]}",0.2933333333333333,6469
928,2310.6666666666665,1694.75,622.5,850.1,1060.0,2410.6666666666665,1,-0.46209252,-0.021180458,0.38916636,32.55723660046596,117.01288702613324,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.01288702613324,32.55723660046596]}",0.2933333333333333,928
4372,2547.75,1996.3333333333333,792.0,1053.0,1252.0,2515.3333333333335,1,-0.41512185,0.0064025545,0.3353389,32.46039821283788,117.320739674001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.320739674001,32.46039821283788]}",0.2933333333333333,4372
6753,1680.5,1346.0,979.0,1181.0,1267.0,2028.5,2,-0.1745588,-0.09382583,0.23107268,32.000101461255035,117.24662866306114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.24662866306114,32.000101461255035]}",0.29666666666666663,6753
8162,2032.0,1627.0,866.0,1028.0,1150.0,1958.0,2,-0.3281046,0.018546365,0.25997427,31.65676535966455,117.1125101911421,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.1125101911421,31.656765359664554]}",0.29666666666666663,8162
7766,1501.0,1095.5,870.0,1088.0,1171.0,1732.5,2,-0.15952104,-0.071594246,0.19338728,31.75216644283805,117.41721873551543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.41721873551545,31.75216644283805]}",0.2966666666666667,7766
7109,3153.0,2256.0,1340.0,1417.0,1412.0,1466.0,2,-0.37986872,0.36523056,0.01876303,31.96722312185626,117.32900417461492,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.32900417461491,31.96722312185626]}",0.3,7109
2275,1657.0,1082.0,910.0,905.0,845.0,883.5,1,-0.2935207,0.30446762,0.022273649,31.83993184609653,117.30097673775036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.30097673775037,31.839931846096526]}",0.30000000000000004,2275
9197,2500.0,2469.75,1304.0,1533.5,1694.5,2318.5,2,-0.2396182,0.037667323,0.15549465,32.54483984954511,117.027439733736,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.02743973373599,32.54483984954511]}",0.30000000000000004,9197
6677,320.0,223.0,500.0,720.5,539.5,375.5,2,0.3849111,-0.079798706,-0.17923497,32.17994418113577,117.85317114289865,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.85317114289865,32.17994418113577]}",0.30000000000000004,6677
4709,1658.5,1050.0,553.0,685.0,533.0,2658.0,1,-0.41540432,-0.23155335,0.66593546,31.770042916992026,117.31382264631328,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.31382264631328,31.770042916992026]}",0.30000000000000004,4709
9357,1826.5,1340.0,1340.0,1387.0,1345.0,2133.0,2,-0.13676676,-0.07740876,0.22656699,32.429047009422106,117.17494310338842,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.17494310338842,32.429047009422106]}",0.30000000000000004,9357
7564,435.8,298.45454545454544,433.77777777777777,626.1111111111111,490.0,404.0,2,0.17921567,0.03786616,-0.09619687,31.57358136435509,116.81669496808156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.81669496808155,31.573581364355086]}",0.30000000000000004,7564
8060,380.0,231.0,613.0,881.5,707.0,590.5,2,0.3975426,-0.2168985,-0.08978806,32.03989682834153,117.48046013151746,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.48046013151746,32.03989682834153]}",0.30000000000000004,8060
9240,2758.0,2412.5,1356.0,1527.6666666666667,1735.5,2678.0,2,-0.28708097,0.014716703,0.21354933,32.13107582967966,117.05582649671416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.05582649671416,32.13107582967966]}",0.30000000000000004,9240
8355,2334.5,1808.5,905.0,982.0,1041.0,2360.0,2,-0.40780944,-0.005431888,0.3878271,31.76132925873607,117.41515261036196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.41515261036197,31.76132925873607]}",0.30000000000000004,8355
916,2003.0,1503.0,581.0,797.0,761.0,2828.0,1,-0.43071428,-0.17077209,0.5759264,32.42796903108116,117.18374659317278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.18374659317278,32.42796903108116]}",0.30000000000000004,916
6428,1755.0,1380.0,914.0,1084.0,1092.0,2341.0,2,-0.23635083,-0.1430664,0.36382174,32.614010126422315,117.20018576287217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20018576287217,32.614010126422315]}",0.30666666666666664,6428
