[    73s] [P2|Nanjing  |s0] B3_loco_ungated   n_corr=  24 WC_OA=0.9080 WC_BE=344 Hum_OA=0.5200 Hum_BE= 59
[    74s] [P2|Nanjing  |s0] B4_random_flip    n_corr=   6 WC_OA=0.9087 WC_BE=340 Hum_OA=0.4867 Hum_BE= 63
[    75s] [P2|Nanjing  |s1] B0_baseline       n_corr=   0 WC_OA=0.9198 WC_BE=311 Hum_OA=0.4667 Hum_BE= 65
[    76s] [P2|Nanjing  |s1] B1_local_oracle   n_corr= 120 WC_OA=0.9140 WC_BE=340 Hum_OA=0.5800 Hum_BE= 49
[    77s] [P2|Nanjing  |s1] B2_loco_gated     n_corr=  12 WC_OA=0.9198 WC_BE=312 Hum_OA=0.4800 Hum_BE= 63
[    78s] [P2|Nanjing  |s1] B3_loco_ungated   n_corr=  28 WC_OA=0.9184 WC_BE=313 Hum_OA=0.4733 Hum_BE= 64
[    78s] [P2|Nanjing  |s1] B4_random_flip    n_corr=  12 WC_OA=0.9223 WC_BE=301 Hum_OA=0.4733 Hum_BE= 64
[    80s] [P2|Nanjing  |s2] B0_baseline       n_corr=   0 WC_OA=0.9230 WC_BE=274 Hum_OA=0.4933 Hum_BE= 60
[    80s] [P2|Nanjing  |s2] B1_local_oracle   n_corr= 126 WC_OA=0.9200 WC_BE=288 Hum_OA=0.6000 Hum_BE= 46
[    81s] [P2|Nanjing  |s2] B2_loco_gated     n_corr=  10 WC_OA=0.9237 WC_BE=270 Hum_OA=0.4867 Hum_BE= 61
[    82s] [P2|Nanjing  |s2] B3_loco_ungated   n_corr=  29 WC_OA=0.9247 WC_BE=270 Hum_OA=0.5133 Hum_BE= 59
[    83s] [P2|Nanjing  |s2] B4_random_flip    n_corr=  10 WC_OA=0.9224 WC_BE=279 Hum_OA=0.5000 Hum_BE= 61
[    84s] [P2|Nanjing  |s3] B0_baseline       n_corr=   0 WC_OA=0.9107 WC_BE=351 Hum_OA=0.4733 Hum_BE= 63
[    85s] [P2|Nanjing  |s3] B1_local_oracle   n_corr= 107 WC_OA=0.9072 WC_BE=366 Hum_OA=0.5600 Hum_BE= 50
[    86s] [P2|Nanjing  |s3] B2_loco_gated     n_corr=   9 WC_OA=0.9109 WC_BE=350 Hum_OA=0.4667 Hum_BE= 64
[    87s] [P2|Nanjing  |s3] B3_loco_ungated   n_corr=  26 WC_OA=0.9117 WC_BE=348 Hum_OA=0.4933 Hum_BE= 60
[    87s] [P2|Nanjing  |s3] B4_random_flip    n_corr=   9 WC_OA=0.9099 WC_BE=352 Hum_OA=0.4600 Hum_BE= 65
[    88s] [P2|Nanjing  |s4] B0_baseline       n_corr=   0 WC_OA=0.9093 WC_BE=337 Hum_OA=0.4800 Hum_BE= 63
[    89s] [P2|Nanjing  |s4] B1_local_oracle   n_corr= 129 WC_OA=0.9048 WC_BE=364 Hum_OA=0.5667 Hum_BE= 51
[    90s] [P2|Nanjing  |s4] B2_loco_gated     n_corr=   9 WC_OA=0.9119 WC_BE=330 Hum_OA=0.4667 Hum_BE= 66
[    91s] [P2|Nanjing  |s4] B3_loco_ungated   n_corr=  25 WC_OA=0.9130 WC_BE=330 Hum_OA=0.5333 Hum_BE= 56
[    92s] [P2|Nanjing  |s4] B4_random_flip    n_corr=   9 WC_OA=0.9106 WC_BE=334 Hum_OA=0.4733 Hum_BE= 65
[    93s] [P2|Changsha |s0] B0_baseline       n_corr=   0 WC_OA=0.9333 WC_BE=234 Hum_OA=0.3733 Hum_BE= 72
[    94s] [P2|Changsha |s0] B1_local_oracle   n_corr=  36 WC_OA=0.9318 WC_BE=238 Hum_OA=0.4000 Hum_BE= 69
[    95s] [P2|Changsha |s0] B2_loco_gated     n_corr=  39 WC_OA=0.9327 WC_BE=240 Hum_OA=0.3867 Hum_BE= 69
[    96s] [P2|Changsha |s0] B3_loco_ungated   n_corr=  95 WC_OA=0.9307 WC_BE=248 Hum_OA=0.4533 Hum_BE= 58
[    97s] [P2|Changsha |s0] B4_random_flip    n_corr=  39 WC_OA=0.9327 WC_BE=237 Hum_OA=0.3667 Hum_BE= 71
[    98s] [P2|Changsha |s1] B0_baseline       n_corr=   0 WC_OA=0.9422 WC_BE=235 Hum_OA=0.3600 Hum_BE= 71
[    98s] [P2|Changsha |s1] B1_local_oracle   n_corr=  30 WC_OA=0.9426 WC_BE=231 Hum_OA=0.3733 Hum_BE= 70
[    99s] [P2|Changsha |s1] B2_loco_gated     n_corr=  31 WC_OA=0.9440 WC_BE=225 Hum_OA=0.3667 Hum_BE= 71
[   100s] [P2|Changsha |s1] B3_loco_ungated   n_corr=  81 WC_OA=0.9415 WC_BE=238 Hum_OA=0.4333 Hum_BE= 61
[   101s] [P2|Changsha |s1] B4_random_flip    n_corr=  31 WC_OA=0.9432 WC_BE=232 Hum_OA=0.3600 Hum_BE= 71
[   102s] [P2|Changsha |s2] B0_baseline       n_corr=   0 WC_OA=0.9335 WC_BE=217 Hum_OA=0.3467 Hum_BE= 69
[   103s] [P2|Changsha |s2] B1_local_oracle   n_corr=  36 WC_OA=0.9327 WC_BE=218 Hum_OA=0.3800 Hum_BE= 66
[   103s] [P2|Changsha |s2] B2_loco_gated     n_corr=  39 WC_OA=0.9323 WC_BE=223 Hum_OA=0.3600 Hum_BE= 67
