system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,Original_ID,lat,lon,.geo,Error_Probability
4368,1886.5,1533.0,917.5,1183.0,1258.0,2353.0,1,-0.22919042,-0.11003656,0.3032401,4368,32.08202781516674,118.68123817180002,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.68123817180002,32.08202781516674]}",0.46
955,2088.5,1933.0,1345.0,1532.0,1668.0,2262.0,1,-0.15370806,-0.039880473,0.15114504,955,32.3793701742103,118.75490002509784,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.75490002509783,32.3793701742103]}",0.46
182,1235.0,1018.5,779.5,935.5,997.5,1659.0,1,-0.13798665,-0.14651002,0.24901186,182,32.210846226909474,118.58898119212095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.58898119212095,32.210846226909474]}",0.46
2895,1496.0,1254.0,920.0,1031.5,1115.0,1546.0,1,-0.18377843,-0.016436554,0.16196918,2895,32.37344129333511,118.92620874977942,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.92620874977942,32.37344129333511]}",0.46
8348,2111.5,1480.0,729.0,951.5,1233.0,2147.5,2,-0.37871367,-0.008452688,0.27052212,8348,32.00522185837452,118.60955261212727,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.60955261212729,32.00522185837452]}",0.46
7296,1869.0,1241.8333333333337,526.9166666666667,837.5,702.5,1854.3333333333337,2,-0.38111952,0.0039391224,0.45049214,7296,31.555076069502224,119.08808516397777,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.08808516397775,31.555076069502224]}",0.46
1966,1894.5,1616.0,571.0,643.5,575.0,1376.0,1,-0.4929078,0.15853845,0.4105587,1966,31.809568789493287,118.54837734127877,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.54837734127875,31.809568789493287]}",0.46
10185,1061.0,846.5,900.0,1046.0,1046.0,1582.0,3,-0.0071191266,-0.19712448,0.20395738,10185,31.366340028308713,118.83386193857191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.83386193857193,31.366340028308713]}",0.46
2373,1510.0,1365.0,728.0,838.5,966.0,1537.5,1,-0.28592718,-0.00902379,0.22828041,2373,32.10295856128672,118.54622138459686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.54622138459686,32.10295856128672]}",0.46
5568,1674.5,957.0,399.0,556.0,500.5,1936.5,2,-0.5014571,-0.07255608,0.5892491,5568,32.22396163005762,118.83278396023098,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.83278396023098,32.22396163005762]}",0.46
5169,1919.0,1267.5,403.0,638.5,601.5,1841.0,2,-0.50068426,0.020744681,0.50747186,5169,31.732673001172653,118.95225989301888,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.95225989301888,31.732673001172653]}",0.46
3928,1755.0,1575.0,1120.0,1166.0,1388.0,1952.0,1,-0.20164327,-0.053142704,0.16886227,3928,31.581845864968987,118.92971217938748,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.92971217938748,31.581845864968987]}",0.46
9149,1945.5,1356.0,569.0,795.5,829.5,1882.5,2,-0.41955492,0.01645768,0.38827434,9149,32.292862412349585,118.84257559682788,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.84257559682788,32.292862412349585]}",0.46
2822,1341.5,1256.5,544.0,637.5,650.5,1338.0,1,-0.3557352,0.0013062138,0.345738,2822,32.128111389242065,118.81158371952576,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.81158371952577,32.128111389242065]}",0.46
7978,2346.5,1720.5,796.0,1109.0,1293.0,2541.0,2,-0.35812473,-0.039795395,0.3255086,7978,31.276598331425173,119.05727294973244,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.05727294973245,31.276598331425173]}",0.46
9605,1118.0,914.0,852.0,1027.0,959.5,1151.5,2,-0.042424243,-0.014760961,0.09095216,9605,31.35052967930821,118.79424623454226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.79424623454226,31.35052967930821]}",0.46
2327,1577.5,1418.0,730.0,770.5,809.0,1480.0,1,-0.34369677,0.031888798,0.2931411,2327,32.22953118481916,118.70648083128378,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.70648083128378,32.22953118481916]}",0.458
