Original_ID,Original_ID_GEE,system:index,B11_mean,B11_stdDev,B12_mean,B12_stdDev,B2_mean,B2_stdDev,B3_mean,B3_stdDev,B4_mean,B4_stdDev,B8_mean,B8_stdDev,Class,MNDWI_mean,MNDWI_stdDev,NDBI_mean,NDBI_stdDev,NDVI_mean,NDVI_stdDev,.geo
3078,00000000000000000c06,00000000000000000c06_0,2251.444444444444,108.00011431178308,1819.444444444444,23.22408286007312,977.7777777777776,44.79280144988077,1153.111111111111,56.22266139485835,1103.7777777777774,44.725776256298126,2082.666666666666,15.1803967156476,1,-0.3223064,0.0280702233209619,0.038332388,0.0241844144154326,0.3074607,0.0166631189518918,"{""type"":""MultiPoint"",""coordinates"":[]}"
3649,00000000000000000e41,00000000000000000e41_0,2023.7222222222215,122.06740194369496,1821.9444444444437,174.90147138134148,980.3888888888886,152.69391637771736,1160.3888888888887,182.59180001330475,1249.6111111111106,194.42304644165577,1886.666666666666,144.2149244857981,1,-0.273253,0.0965176550196105,0.035540476,0.0476794372891306,0.20585139,0.0872938519423474,"{""type"":""MultiPoint"",""coordinates"":[]}"
3825,00000000000000000ef1,00000000000000000ef1_0,1432.3333333333328,115.72980985419828,1182.1666666666663,10.842303978193728,855.9999999999998,103.53609139919384,982.5555555555552,68.99293218408681,988.111111111111,80.45453435801701,1351.2777777777776,147.94088742751123,1,-0.18486261,0.071822491631942,0.030417958,0.0165874570404485,0.15261042,0.0906787366809927,"{""type"":""MultiPoint"",""coordinates"":[]}"
3958,00000000000000000f76,00000000000000000f76_0,1989.555555555555,130.46422337272045,1620.999999999999,160.11870596529317,873.9999999999998,75.93418202627852,1017.9999999999998,93.84976173532768,1110.8888888888887,125.41526085098612,1838.2222222222215,116.3651129255366,1,-0.32391736,0.017919451066559,0.03937481,0.0297971442023724,0.2484202,0.0395835089203421,"{""type"":""MultiPoint"",""coordinates"":[]}"
4127,0000000000000000101f,0000000000000000101f_0,1763.2222222222215,51.68016550063366,1627.5555555555552,32.588720308692835,929.6666666666664,22.58317958127243,1145.333333333333,33.980386499665755,1317.5555555555554,42.90327910573583,1551.2222222222215,62.613058236508785,1,-0.21234654,0.0213877368940452,0.06410064,0.0292514646817043,0.081292614,0.0122053094236694,"{""type"":""MultiPoint"",""coordinates"":[]}"
4707,00000000000000001263,00000000000000001263_0,1205.3888888888885,89.97986743271954,1126.444444444444,86.87840942772453,905.7777777777776,108.50450863932694,982.2777777777774,105.42852004797476,1045.0555555555552,106.10540996900836,1196.9999999999998,146.0947181340471,1,-0.10292862,0.0628176379954633,0.005521848,0.0716037062462494,0.066876926,0.0249849070347227,"{""type"":""MultiPoint"",""coordinates"":[]}"
3115,00000000000000000c2b,00000000000000000c2b_0,2419.388888888888,256.8479638681408,2196.1111111111104,345.92474918508697,927.3333333333331,148.56293092304165,1034.7777777777776,185.95192196896127,1346.222222222222,274.4913590130654,2192.388888888888,121.42139152961296,1,-0.40354288,0.0556996816159092,0.046970338,0.0466046583752366,0.24634334,0.1042686464730694,"{""type"":""MultiPoint"",""coordinates"":[]}"
942,000000000000000003ae,000000000000000003ae_0,1211.8611111111109,154.4597764172408,1048.2268518518515,160.77998432879582,873.4907407407405,112.57339474489304,1029.5999999999997,177.85176168877945,1217.7037037037037,258.0399382641551,1511.0648148148143,377.9104868574265,1,-0.0849034,0.0365449756932449,-0.096071884,0.0789957105945509,0.101937816,0.0368122065362824,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,000000000000000000a0,000000000000000000a0_0,1866.3333333333328,8.013876853447538,1424.166666666666,53.50441310978209,853.333333333333,99.68812478034796,1019.1111111111107,105.18575573658464,1040.8888888888887,152.7635750974136,2048.7222222222217,284.0501824904169,1,-0.29542428,0.0490820830108727,-0.04195697,0.0635647982543904,0.3220443,0.1159082309520392,"{""type"":""MultiPoint"",""coordinates"":[]}"
836,00000000000000000344,00000000000000000344_0,979.1111111111112,88.6308755387497,842.7777777777774,91.5117208980819,801.7777777777774,163.5330600471816,865.6666666666664,199.81102182923857,892.6666666666664,218.97336215469983,1075.333333333333,255.8767064210591,1,-0.07130889,0.1355181300654702,-0.034225114,0.1387394212937174,0.09397236,0.0243789804128595,"{""type"":""MultiPoint"",""coordinates"":[]}"
2696,00000000000000000a88,00000000000000000a88_0,1582.7777777777771,108.44535518743272,1438.4999999999998,120.7821730775421,1001.4999999999998,46.31954231207386,1149.7777777777776,101.24533215882433,1253.7777777777774,148.303575874906,1454.7777777777774,187.46053082524864,1,-0.15913656,0.0195558150041952,0.04488106,0.0329825369144058,0.07365755,0.0109873910693942,"{""type"":""MultiPoint"",""coordinates"":[]}"
4662,00000000000000001236,00000000000000001236_0,2209.499999999999,23.33452377915607,1852.499999999999,95.45941546018392,870.5555555555552,92.13499891296104,1068.2777777777776,92.56742620955696,1088.7777777777776,139.63983654608498,1876.499999999999,137.35578295474534,1,-0.34916237,0.0398058562036831,0.082746245,0.0343256605532502,0.26677373,0.0667490191602518,"{""type"":""MultiPoint"",""coordinates"":[]}"
4766,0000000000000000129e,0000000000000000129e_0,2425.444444444444,166.341757375933,1747.5555555555547,141.97348039617347,791.1111111111109,127.12325116851886,1014.5555555555552,172.23247281322418,1151.333333333333,210.4260228942968,2417.1111111111104,297.065067486885,1,-0.4122171,0.0779943893314493,0.0047653946,0.0543380550965356,0.3565143,0.0652925096114301,"{""type"":""MultiPoint"",""coordinates"":[]}"
2918,00000000000000000b66,00000000000000000b66_0,1432.888888888889,167.8947715713255,1159.9240740740738,162.9509823878952,897.7117003367,72.74523777755637,1068.7685185185182,110.50716262033882,1084.4850088183418,109.71381988261489,1655.3203703703698,371.1805265899812,1,-0.14486803,0.0506443771677247,-0.062163845,0.080121443812564,0.19772908,0.0669090166169926,"{""type"":""MultiPoint"",""coordinates"":[]}"
2956,00000000000000000b8c,00000000000000000b8c_0,2167.777777777777,178.04542352867654,1993.3333333333328,200.9030999152466,866.722222222222,83.53080307125295,1023.7222222222216,76.59674750532889,1165.3888888888887,160.92713633777385,2003.944444444444,131.777684092154,1,-0.35779226,0.0336453855159448,0.03859848,0.0398663211552182,0.26694328,0.0661103758837963,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,00000000000000000069,00000000000000000069_0,1342.6666666666663,21.684607956387456,1109.3333333333328,64.58241934837135,896.8888888888887,78.43531580501293,993.6666666666664,94.20544924083036,987.8888888888888,118.36332431631762,1727.7777777777774,198.0200762985511,1,-0.15123518,0.0433957943269607,-0.121726595,0.0611566648304619,0.27071926,0.0795309144348158,"{""type"":""MultiPoint"",""coordinates"":[]}"
417,000000000000000001a1,000000000000000001a1_0,1797.444444444444,178.21404802534627,1672.9999999999995,208.14951890941813,952.222222222222,98.98796534908,1152.5555555555552,140.47942602318122,1251.8888888888887,167.5751535841914,1606.8888888888882,244.1185706643593,1,-0.21978009,0.033910531551281,0.059668846,0.0496956628360373,0.12263082,0.019772164649848,"{""type"":""MultiPoint"",""coordinates"":[]}"
