held_out,seed,method,n_train,n_corrected,WC_OA,WC_Kappa,WC_BE,Human_OA,Human_BE
Nanchang,1,B0_baseline,9813,0,0.9009330950962875,0.8504268654561666,206,0.3,80
Nanchang,1,B1_local_oracle,9813,41,0.9029184038117928,0.8533115848027726,199,0.32,77
Nanchang,1,B2_loco_gated,9813,22,0.9015286877109391,0.8512898637904694,203,0.31333333333333335,78
Nanchang,1,B3_loco_ungated,9813,50,0.9023228111971412,0.8524282662713325,198,0.31333333333333335,77
Nanchang,1,B4_random_flip,9813,22,0.9025213420686917,0.8528098096679035,199,0.3,80
Nanchang,2,B0_baseline,10072,0,0.885935537881959,0.8284863344838229,181,0.2733333333333333,84
Nanchang,2,B1_local_oracle,10072,42,0.8850983675177899,0.8271490541084621,183,0.32666666666666666,75
Nanchang,2,B2_loco_gated,10072,23,0.884470489744663,0.82623863449947,186,0.3,80
Nanchang,2,B3_loco_ungated,10072,48,0.8838426119715362,0.8252460160251286,187,0.31333333333333335,77
Nanchang,2,B4_random_flip,10072,23,0.8850983675177899,0.8272126781922241,183,0.26666666666666666,84
Nanchang,3,B0_baseline,10296,0,0.9110671936758893,0.8658660290811601,210,0.28,83
Nanchang,3,B1_local_oracle,10296,36,0.9112867808519982,0.866240444777552,204,0.32,77
Nanchang,3,B2_loco_gated,10296,20,0.9108476064997804,0.8655629530074854,205,0.30666666666666664,80
Nanchang,3,B3_loco_ungated,10296,38,0.9104084321475626,0.8649040609954204,208,0.32,78
Nanchang,3,B4_random_flip,10296,20,0.9106280193236715,0.8652090208560882,208,0.2866666666666667,82
Nanchang,4,B0_baseline,10321,0,0.9183042614263635,0.8773323779919325,240,0.25333333333333335,87
Nanchang,4,B1_local_oracle,10321,39,0.9183042614263635,0.877329019538428,244,0.3,79
Nanchang,4,B2_loco_gated,10321,18,0.9207330536542283,0.8809905698528806,235,0.2733333333333333,84
Nanchang,4,B3_loco_ungated,10321,45,0.9198498564804592,0.8796586049748052,237,0.3,79
Nanchang,4,B4_random_flip,10321,18,0.9158754691984986,0.8736876848880153,251,0.2733333333333333,84
Nanjing,0,B0_baseline,10175,0,0.9099465240641711,0.8607659554359092,336,0.4666666666666667,65
Nanjing,0,B1_local_oracle,10175,127,0.9022459893048128,0.8488760462087497,375,0.5933333333333334,47
Nanjing,0,B2_loco_gated,10175,6,0.9095187165775401,0.8600932478211435,336,0.4666666666666667,66
