PointID,Original_ID,lon,lat,WC_Class,RF_Pred,margin,BoundaryScore,prob_1,prob_2,prob_3,Human_Class,Scene,Confidence,Notes
94,13515,119.6463140835924,29.760035971596732,3,3,0.38,1174.7482395364957,0.2933333333333333,0.0333333333333333,0.6733333333333333,,,,
95,13644,118.84052330952736,29.849690657377316,3,3,0.71,1152.707671090732,0.1166666666666666,0.0566666666666666,0.8266666666666667,,,,
96,13689,119.56878815267716,29.879963494429163,3,3,0.6533333333333333,1424.6208009949291,0.1666666666666666,0.0133333333333333,0.82,,,,
97,13800,119.43682551610152,29.93988043528432,3,3,0.4433333333333333,1343.2376764612816,0.1966666666666666,0.1633333333333333,0.64,,,,
98,13801,119.46449423813816,29.94059835055393,3,3,0.5566666666666666,1262.2653118626013,0.22,0.0033333333333333,0.7766666666666666,,,,
99,14265,120.2117147198662,30.121071547490036,3,3,0.64,1462.5826317373962,0.1766666666666666,0.0066666666666666,0.8166666666666667,,,,
100,14525,119.68763657305468,30.235425194005657,3,3,0.4666666666666667,1424.5817890771486,0.2166666666666666,0.1,0.6833333333333333,,,,
101,14544,120.22689349985212,30.23973714472434,3,3,0.4899999999999999,1049.422746197853,0.2,0.11,0.69,,,,
102,14549,119.71206798772651,30.24081624717927,3,3,0.4600000000000001,1010.8174369291723,0.2633333333333333,0.0133333333333333,0.7233333333333334,,,,
103,14630,119.99971121938114,30.255549117059864,3,3,0.4899999999999999,1246.58713738467,0.2533333333333333,0.0033333333333333,0.7433333333333333,,,,
104,14714,120.16823402549404,30.28662905140238,3,3,0.6666666666666667,1072.3706134048791,0.0866666666666666,0.1233333333333333,0.79,,,,
